Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_ligand_1.sdf         ,001_ligand_10.sdf        ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:18,18:19,19:20,20:21,21:22,22:17,23:23,24:24,25:25
0         ,2         ,000_ligand_1.sdf         ,002_ligand_11.sdf        ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:22,17:16,18:17,19:18,20:19,21:20,22:23
0         ,3         ,000_ligand_1.sdf         ,003_ligand_12.sdf        ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:22,17:16,18:17,19:18,20:19,21:20,22:23
0         ,4         ,000_ligand_1.sdf         ,004_ligand_13.sdf        ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:18,18:19,19:20,20:21,21:22,22:17,23:24,24:25,25:26
0         ,5         ,000_ligand_1.sdf         ,005_ligand_14.sdf        ,0.67032        ,0.67032        ,0.67032        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:21,15:14,16:20,17:15,18:16,19:17,20:18,21:19
0         ,6         ,000_ligand_1.sdf         ,006_ligand_15.sdf        ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:22,15:14,16:20,17:15,18:16,19:17,20:18,21:19,22:21
0         ,7         ,000_ligand_1.sdf         ,007_ligand_16.sdf        ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:18,18:19,19:20,20:21,21:22,22:17
0         ,8         ,000_ligand_1.sdf         ,008_ligand_2.sdf         ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:23,25:22
0         ,9         ,000_ligand_1.sdf         ,009_ligand_3.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,17:17,18:18,20:19,21:20,22:22
0         ,10        ,000_ligand_1.sdf         ,010_ligand_4.sdf         ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25
