,ligand_a,index_a,ligand_b,index_b,score,n_windows,lambdas
0,ligand_1,0,ligand_4,10,0.90484,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
1,ligand_1,0,ligand_5,11,0.90484,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
2,ligand_10,1,ligand_6,12,0.95123,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
3,ligand_10,1,ligand_8,14,0.95123,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
4,ligand_11,2,ligand_12,3,0.90484,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
5,ligand_11,2,ligand_14,5,0.81873,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
6,ligand_11,2,ligand_3,9,0.70469,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
7,ligand_11,2,ligand_4,10,0.86071,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
8,ligand_11,2,ligand_5,11,0.86071,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
9,ligand_12,3,ligand_15,6,0.81873,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
10,ligand_13,4,ligand_16,7,0.90484,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
11,ligand_13,4,ligand_6,12,0.95123,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
12,ligand_14,5,ligand_15,6,0.90484,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
13,ligand_15,6,ligand_3,9,0.63763,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
14,ligand_16,7,ligand_9,15,0.90484,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
15,ligand_2,8,ligand_4,10,0.86071,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
16,ligand_2,8,ligand_9,15,0.7788,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
17,ligand_4,10,ligand_9,15,0.90484,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
18,ligand_6,12,ligand_7,13,0.86071,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
19,ligand_6,12,ligand_8,14,0.90484,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
20,ligand_6,12,ligand_9,15,0.95123,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
21,ligand_7,13,ligand_9,15,0.89137,11,0.0000 0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.7000 0.8000 0.9000 1.0000
